Ann ee,situation,Genre,Secteur disciplinaire,% emplois ext erieurs à la r egion de l’universit e
2013,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,45
2014,18 mois après le diplôme,femmes,Langues et litt eratures françaises,37
2018,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,39
2016,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,33
2012,30 mois après le diplôme,femmes,Langues et litt eratures françaises,37
2016,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,33
2015,30 mois après le diplôme,femmes,Langues et litt eratures françaises,40
2013,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,34
2013,30 mois après le diplôme,femmes,Langues et litt eratures françaises,35
2016,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,55
2012,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,54
2012,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,54
2012,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,52
2011,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,53
2016,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,59
2013,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,52
2013,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,53
2013,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,52
2012,30 mois après le diplôme,femmes,Litt erature g en erale et compar ee,29
2012,18 mois après le diplôme,femmes,Litt erature g en erale et compar ee,29
2013,18 mois après le diplôme,femmes,Litt erature g en erale et compar ee,17
2013,30 mois après le diplôme,femmes,Litt erature g en erale et compar ee,17
2016,30 mois après le diplôme,hommes,Sciences du langage  linguistique,62
2011,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,50
2012,18 mois après le diplôme,femmes,Sciences du langage  linguistique,43
2012,30 mois après le diplôme,femmes,Sciences du langage  linguistique,43
2017,18 mois après le diplôme,femmes,Sciences du langage  linguistique,59
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,56
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,53
2013,30 mois après le diplôme,hommes,Pluridisciplinaire langues,51
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,54
2014,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,39
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,38
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,38
2018,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,36
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,41
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,43
2012,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,45
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,43
2013,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,42
2013,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,42
2014,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,42
2016,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,41
2015,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,43
2015,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2016,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,40
2015,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,38
2017,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2018,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,38
2017,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,41
2013,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2018,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,39
2018,30 mois après le diplôme,hommes,Histoire-g eographie,39
2015,18 mois après le diplôme,femmes et hommes,Histoire,36
2017,30 mois après le diplôme,femmes et hommes,Histoire,38
2018,18 mois après le diplôme,hommes,G eographie,39
2015,30 mois après le diplôme,femmes,G eographie,33
2013,18 mois après le diplôme,femmes,G eographie,38
2018,18 mois après le diplôme,hommes,Psychologie,34
2012,30 mois après le diplôme,femmes,Psychologie,43
2015,30 mois après le diplôme,femmes,Psychologie,37
2012,30 mois après le diplôme,hommes,Psychologie,35
2017,18 mois après le diplôme,hommes,Psychologie,33
2013,30 mois après le diplôme,hommes,Psychologie,43
2018,30 mois après le diplôme,hommes,Sciences de l'information et la communication,34
2012,30 mois après le diplôme,femmes,Sciences de l'information et la communication,42
2017,30 mois après le diplôme,hommes,Sciences de l'information et la communication,48
2012,18 mois après le diplôme,femmes,Sciences de l'information et la communication,42
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,43
2013,30 mois après le diplôme,femmes,Sciences de l'information et la communication,41
2018,18 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,41
2018,18 mois après le diplôme,femmes,Am enagement,48
2013,30 mois après le diplôme,femmes,Am enagement,44
2012,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,44
2017,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,54
2016,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,50
2013,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,33
2013,30 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,33
2016,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,25
2015,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,33
2014,30 mois après le diplôme,femmes et hommes,Sciences de l' education,30
2016,30 mois après le diplôme,femmes et hommes,Sciences de l' education,33
2017,30 mois après le diplôme,femmes,Sciences de l' education,28
2012,30 mois après le diplôme,femmes et hommes,Sciences de l' education,26
2017,18 mois après le diplôme,femmes et hommes,Sciences de l' education,29
2015,30 mois après le diplôme,femmes et hommes,Sciences de l' education,30
2018,30 mois après le diplôme,femmes,Sociologie  d emographie,36
2014,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,32
2018,18 mois après le diplôme,femmes,Sociologie  d emographie,36
2015,30 mois après le diplôme,hommes,Sociologie  d emographie,35
2015,18 mois après le diplôme,hommes,Sociologie  d emographie,35
2017,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,29
2012,18 mois après le diplôme,femmes,Sociologie  d emographie,29
2012,30 mois après le diplôme,femmes,Sociologie  d emographie,29
2015,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,34
2013,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,23
2012,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,36
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,35
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,36
2017,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2013,18 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,33
2016,30 mois après le diplôme,femmes et hommes,G enie civil,52
2018,30 mois après le diplôme,femmes,G enie civil,48
2014,30 mois après le diplôme,femmes,G enie des proc ed es,57
2018,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,51
2014,18 mois après le diplôme,hommes,G enie des proc ed es,51
2016,18 mois après le diplôme,hommes,G enie des proc ed es,55
2011,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,51
2012,18 mois après le diplôme,femmes,G enie des proc ed es,57
2017,30 mois après le diplôme,femmes,G enie des proc ed es,49
2015,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,45
2013,18 mois après le diplôme,hommes,G enie des proc ed es,50
2014,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,55
2014,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,55
2015,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,53
2016,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,53
2015,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,54
2017,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,46
2016,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,44
2012,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,59
2016,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,53
2017,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,44
2013,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,62
2013,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,67
2014,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,43
2014,18 mois après le diplôme,femmes,Technologie et sciences industrielles,38
2016,18 mois après le diplôme,femmes,Technologie et sciences industrielles,36
2015,18 mois après le diplôme,femmes,Technologie et sciences industrielles,36
2013,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,41
2013,30 mois après le diplôme,hommes,Technologie et sciences industrielles,45
2018,18 mois après le diplôme,hommes,Informatique,30
2014,18 mois après le diplôme,hommes,Informatique,31
2016,30 mois après le diplôme,hommes,Informatique,33
2016,18 mois après le diplôme,femmes,Informatique,28
2012,18 mois après le diplôme,femmes et hommes,Informatique,32
2012,18 mois après le diplôme,femmes,Informatique,36
2018,30 mois après le diplôme,femmes,Informatique,34
2017,18 mois après le diplôme,femmes,Informatique,35
2014,30 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,44
2018,18 mois après le diplôme,femmes,Autres sciences  technologies et sant e,41
2013,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,44
2014,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,63
2011,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,66
2014,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,42
2014,18 mois après le diplôme,hommes,Math ematique et informatique,43
2012,18 mois après le diplôme,hommes,Math ematique et informatique,25
2013,18 mois après le diplôme,hommes,Math ematique et informatique,41
2013,18 mois après le diplôme,femmes et hommes,Math ematique et informatique,35
2018,18 mois après le diplôme,femmes,M edecine,48
2014,30 mois après le diplôme,hommes,M edecine,35
2014,18 mois après le diplôme,femmes et hommes,M edecine,39
2014,18 mois après le diplôme,hommes,M edecine,35
2016,18 mois après le diplôme,femmes,M edecine,30
2016,30 mois après le diplôme,femmes et hommes,M edecine,30
2017,30 mois après le diplôme,femmes et hommes,M edecine,45
2011,30 mois après le diplôme,femmes et hommes,M edecine,49
2018,30 mois après le diplôme,hommes,M edecine,45
2018,30 mois après le diplôme,femmes et hommes,M edecine,47
2014,18 mois après le diplôme,femmes,Pharmacie,58
2015,18 mois après le diplôme,femmes et hommes,Pharmacie,61
2012,30 mois après le diplôme,femmes et hommes,Pharmacie,60
2017,30 mois après le diplôme,femmes,Pharmacie,55
2011,30 mois après le diplôme,femmes et hommes,Pharmacie,43
2013,30 mois après le diplôme,hommes,Pharmacie,58
2013,30 mois après le diplôme,femmes,Pharmacie,51
2014,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,41
2014,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,35
2016,18 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,41
2015,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,38
2017,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,45
2015,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,38
2018,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,35
2011,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,48
2012,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,51
2017,18 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,43
2018,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,54
2018,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,56
2016,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,57
2012,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,58
2012,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,52
2015,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,49
2012,18 mois après le diplôme,femmes,Pluridisciplinaire sciences,58
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,55
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,48
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,47
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,65
2013,18 mois après le diplôme,hommes,Pluridisciplinaire sciences fondamentales et applications,52
2013,18 mois après le diplôme,hommes,Masters enseignement,36
2014,18 mois après le diplôme,hommes,Masters enseignement,31
2016,18 mois après le diplôme,femmes,Masters enseignement,20
2012,30 mois après le diplôme,femmes,Masters enseignement,26
2012,18 mois après le diplôme,femmes et hommes,Masters enseignement,29
2012,30 mois après le diplôme,hommes,Masters enseignement,42
2017,30 mois après le diplôme,femmes et hommes,Masters enseignement,24
2018,30 mois après le diplôme,femmes et hommes,Masters enseignement,23
2018,18 mois après le diplôme,femmes,Histoire-g eographie,40
2018,30 mois après le diplôme,hommes,Histoire,39
2012,30 mois après le diplôme,femmes et hommes,Histoire,37
2013,18 mois après le diplôme,femmes,Histoire,43
2014,18 mois après le diplôme,femmes et hommes,G eographie,41
2016,18 mois après le diplôme,femmes,G eographie,46
2012,18 mois après le diplôme,femmes,G eographie,36
2018,30 mois après le diplôme,hommes,G eographie,39
2013,18 mois après le diplôme,femmes et hommes,G eographie,39
2014,18 mois après le diplôme,femmes,Psychologie,37
2018,18 mois après le diplôme,femmes et hommes,Psychologie,36
2013,18 mois après le diplôme,femmes et hommes,Psychologie,37
2018,18 mois après le diplôme,femmes,Sciences de l'information et la communication,38
2016,18 mois après le diplôme,femmes,Sciences de l'information et la communication,41
2011,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,44
2017,30 mois après le diplôme,femmes,Sciences de l'information et la communication,42
2013,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,36
2018,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,41
2018,30 mois après le diplôme,femmes,Am enagement,48
2014,30 mois après le diplôme,femmes et hommes,Am enagement,46
2018,18 mois après le diplôme,femmes et hommes,Am enagement,46
2015,18 mois après le diplôme,femmes,Am enagement,44
2012,18 mois après le diplôme,femmes et hommes,Am enagement,42
2012,30 mois après le diplôme,hommes,Am enagement,47
2016,30 mois après le diplôme,femmes,Am enagement,41
2014,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,42
2015,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,48
2015,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,48
2013,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,33
2018,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,42
2018,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,47
2016,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,45
2016,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,47
2017,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,48
2011,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,49
2013,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,46
2013,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,45
2017,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,45
2018,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,44
2013,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,45
2018,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,50
2015,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,52
2016,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,55
2014,18 mois après le diplôme,hommes,Sciences de la vie,57
2017,30 mois après le diplôme,hommes,Sciences de la vie,51
2013,30 mois après le diplôme,femmes,Sciences de la vie,52
2017,18 mois après le diplôme,hommes,Sciences de la vie,51
2018,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,51
2014,30 mois après le diplôme,femmes,Sciences de l'univers,58
2014,18 mois après le diplôme,hommes,Sciences de l'univers,60
2015,18 mois après le diplôme,hommes,Sciences de l'univers,52
2012,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,60
2017,30 mois après le diplôme,femmes,Sciences de l'univers,52
2016,30 mois après le diplôme,femmes,Sciences de l'univers,51
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,56
2017,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,56
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,40
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,68
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,40
2014,18 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,50
2015,30 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,57
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,45
2015,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,45
2013,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,56
2017,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,53
2018,30 mois après le diplôme,hommes,Sciences fondamentales,51
2016,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,51
2015,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,51
2015,18 mois après le diplôme,femmes et hommes,Chimie,52
2015,18 mois après le diplôme,hommes,Chimie,54
2012,18 mois après le diplôme,femmes et hommes,Chimie,63
2017,30 mois après le diplôme,femmes et hommes,Chimie,53
2012,18 mois après le diplôme,femmes,Chimie,63
2018,30 mois après le diplôme,femmes,Chimie,55
2011,30 mois après le diplôme,femmes et hommes,Chimie,59
2016,30 mois après le diplôme,femmes,Chimie,52
2013,18 mois après le diplôme,hommes,Chimie,48
2013,18 mois après le diplôme,femmes,Chimie,56
2013,18 mois après le diplôme,femmes et hommes,Chimie,53
2014,18 mois après le diplôme,hommes,Physique,48
2015,18 mois après le diplôme,hommes,Physique,43
2011,30 mois après le diplôme,femmes et hommes,Physique,57
2012,30 mois après le diplôme,hommes,Physique,55
2018,30 mois après le diplôme,femmes,Physique,62
2012,18 mois après le diplôme,femmes et hommes,Physique,55
2018,30 mois après le diplôme,femmes et hommes,Physique,55
2017,18 mois après le diplôme,femmes et hommes,Physique,58
2018,18 mois après le diplôme,femmes et hommes,Physique et chimie,57
2016,30 mois après le diplôme,hommes,Physique et chimie,60
2014,18 mois après le diplôme,hommes,Physique et chimie,66
2017,30 mois après le diplôme,femmes et hommes,Physique et chimie,59
2017,18 mois après le diplôme,femmes,Physique et chimie,60
2017,18 mois après le diplôme,hommes,Physique et chimie,59
2018,18 mois après le diplôme,femmes,Math ematiques,49
2016,18 mois après le diplôme,femmes,Math ematiques,50
2012,30 mois après le diplôme,hommes,Math ematiques,43
2012,18 mois après le diplôme,hommes,Math ematiques,43
2017,18 mois après le diplôme,femmes et hommes,Math ematiques,44
2017,18 mois après le diplôme,hommes,Math ematiques,44
