Ann ee,situation,Genre,Secteur disciplinaire,Part des diplôm es boursiers dans la discipline
2018,18 mois après le diplôme,femmes et hommes,Sciences de gestion,21
2014,30 mois après le diplôme,femmes,Sciences de gestion,23
2016,30 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2018,30 mois après le diplôme,femmes et hommes,Sciences de gestion,21
2012,18 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2018,18 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,33
2014,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,28
2018,30 mois après le diplôme,hommes,Autres formations juridiques   economiques et de gestion,31
2015,30 mois après le diplôme,femmes et hommes,Autres formations juridiques   economiques et de gestion,31
2018,18 mois après le diplôme,femmes et hommes,Administration  economique et sociale,28
2014,18 mois après le diplôme,femmes,Administration  economique et sociale,38
2014,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,34
2016,18 mois après le diplôme,hommes,Administration  economique et sociale,32
2015,18 mois après le diplôme,femmes,Administration  economique et sociale,40
2016,30 mois après le diplôme,femmes,Administration  economique et sociale,33
2011,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,29
2015,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,37
2013,18 mois après le diplôme,femmes,Administration  economique et sociale,43
2014,18 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,48
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,40
2017,30 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,31
2015,30 mois après le diplôme,femmes,Pluridisciplinaire droit  sciences politiques,35
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,35
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,18
2017,30 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,28
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,21
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,18
2018,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,39
2014,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,23
2015,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,25
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,29
2018,30 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,37
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,24
2013,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,18
2013,30 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,20
2014,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,39
2015,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,40
2015,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,40
2012,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,34
2016,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,41
2011,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,29
2013,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,36
2013,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,36
2018,30 mois après le diplôme,femmes,Arts,39
2018,18 mois après le diplôme,hommes,Arts,45
2018,18 mois après le diplôme,femmes et hommes,Arts,41
2018,18 mois après le diplôme,femmes,Arts,39
2017,30 mois après le diplôme,hommes,Arts,42
2015,30 mois après le diplôme,femmes,Arts,35
2017,18 mois après le diplôme,hommes,Arts,42
2014,30 mois après le diplôme,femmes,Français  langue  etrangère,19
2014,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,22
2018,30 mois après le diplôme,femmes,Français  langue  etrangère,38
2016,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,31
2016,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,31
2013,30 mois après le diplôme,femmes,Français  langue  etrangère,32
2014,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,37
2016,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,37
2015,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,41
2015,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,41
2017,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,45
2012,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,35
2013,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,40
2014,18 mois après le diplôme,femmes,Langues et litt eratures françaises,32
2018,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,44
2016,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,40
2016,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,40
2015,30 mois après le diplôme,femmes,Langues et litt eratures françaises,39
2013,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,40
2013,30 mois après le diplôme,femmes,Langues et litt eratures françaises,41
2013,18 mois après le diplôme,hommes,Langues et litt eratures françaises,39
2016,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,38
2012,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,40
2011,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,29
2016,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,45
2013,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,42
2013,18 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,43
2013,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,42
2013,18 mois après le diplôme,femmes,Litt erature g en erale et compar ee,34
2013,30 mois après le diplôme,femmes,Litt erature g en erale et compar ee,34
2016,30 mois après le diplôme,hommes,Sciences du langage  linguistique,37
2011,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,29
2017,18 mois après le diplôme,femmes,Sciences du langage  linguistique,40
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,31
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,25
2013,30 mois après le diplôme,hommes,Pluridisciplinaire langues,25
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,34
2014,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,40
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,39
2017,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,40
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,39
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,36
2018,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,35
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,43
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,29
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,22
2013,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,27
2013,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,27
2014,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,30
2016,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,32
2015,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,33
2015,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,35
2016,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,37
2015,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,35
2017,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,36
2018,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,34
2017,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,35
2013,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,31
2018,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,37
2018,30 mois après le diplôme,hommes,Histoire-g eographie,35
2015,18 mois après le diplôme,femmes et hommes,Histoire,39
2017,30 mois après le diplôme,femmes et hommes,Histoire,41
2018,18 mois après le diplôme,hommes,G eographie,34
2015,30 mois après le diplôme,femmes,G eographie,32
2013,18 mois après le diplôme,femmes,G eographie,33
2018,18 mois après le diplôme,hommes,Psychologie,42
2015,30 mois après le diplôme,femmes,Psychologie,37
2017,18 mois après le diplôme,hommes,Psychologie,39
2013,30 mois après le diplôme,hommes,Psychologie,31
2018,30 mois après le diplôme,hommes,Sciences de l'information et la communication,35
2017,30 mois après le diplôme,hommes,Sciences de l'information et la communication,39
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,29
2013,30 mois après le diplôme,femmes,Sciences de l'information et la communication,30
2018,18 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,35
2018,18 mois après le diplôme,femmes,Am enagement,33
2013,30 mois après le diplôme,femmes,Am enagement,32
2017,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,46
2016,30 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,47
2013,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,34
2013,30 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,34
2016,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,20
2015,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,29
2015,18 mois après le diplôme,hommes,Philosophie   epist emologie,29
2014,30 mois après le diplôme,femmes et hommes,Sciences de l' education,25
2016,30 mois après le diplôme,femmes et hommes,Sciences de l' education,35
2017,30 mois après le diplôme,femmes,Sciences de l' education,41
2012,30 mois après le diplôme,femmes et hommes,Sciences de l' education,28
2017,18 mois après le diplôme,femmes et hommes,Sciences de l' education,38
2015,30 mois après le diplôme,femmes et hommes,Sciences de l' education,33
2018,30 mois après le diplôme,femmes,Sociologie  d emographie,46
2014,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,33
2018,18 mois après le diplôme,femmes,Sociologie  d emographie,46
2015,30 mois après le diplôme,hommes,Sociologie  d emographie,38
2015,18 mois après le diplôme,hommes,Sociologie  d emographie,38
2017,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,34
2015,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,35
2013,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,31
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,34
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,32
2017,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,44
2013,18 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,25
2016,30 mois après le diplôme,femmes et hommes,G enie civil,37
2018,30 mois après le diplôme,femmes,G enie civil,35
2014,30 mois après le diplôme,femmes,G enie des proc ed es,31
2018,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,33
2014,18 mois après le diplôme,hommes,G enie des proc ed es,29
2016,18 mois après le diplôme,hommes,G enie des proc ed es,29
2011,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,29
2017,30 mois après le diplôme,femmes,G enie des proc ed es,36
2015,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,31
2013,18 mois après le diplôme,hommes,G enie des proc ed es,25
2014,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,29
2014,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2015,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,28
2016,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,28
2015,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,28
2017,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,33
2016,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,27
2016,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,28
2017,18 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,34
2013,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,30
2013,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,33
2014,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,22
2014,18 mois après le diplôme,femmes,Technologie et sciences industrielles,26
2016,18 mois après le diplôme,femmes,Technologie et sciences industrielles,17
2015,18 mois après le diplôme,femmes,Technologie et sciences industrielles,20
2013,18 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,18
2013,30 mois après le diplôme,hommes,Technologie et sciences industrielles,18
2018,18 mois après le diplôme,hommes,Informatique,30
2014,18 mois après le diplôme,hommes,Informatique,30
2016,30 mois après le diplôme,hommes,Informatique,31
2016,18 mois après le diplôme,femmes,Informatique,26
2012,18 mois après le diplôme,femmes et hommes,Informatique,30
2018,30 mois après le diplôme,femmes,Informatique,37
2017,18 mois après le diplôme,femmes,Informatique,35
2014,30 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,29
2018,18 mois après le diplôme,femmes,Autres sciences  technologies et sant e,36
2013,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,28
2014,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,38
2011,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,29
2014,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,21
2018,18 mois après le diplôme,femmes et hommes,Math ematique et informatique,18
2014,18 mois après le diplôme,hommes,Math ematique et informatique,22
2013,18 mois après le diplôme,hommes,Math ematique et informatique,17
2013,18 mois après le diplôme,femmes et hommes,Math ematique et informatique,18
2018,18 mois après le diplôme,femmes,M edecine,46
2014,30 mois après le diplôme,hommes,M edecine,19
2014,18 mois après le diplôme,femmes et hommes,M edecine,28
2014,18 mois après le diplôme,hommes,M edecine,19
2016,18 mois après le diplôme,femmes,M edecine,32
2016,30 mois après le diplôme,femmes et hommes,M edecine,30
2017,30 mois après le diplôme,femmes et hommes,M edecine,31
2011,30 mois après le diplôme,femmes et hommes,M edecine,29
2018,30 mois après le diplôme,hommes,M edecine,26
2018,30 mois après le diplôme,femmes et hommes,M edecine,38
2014,18 mois après le diplôme,femmes,Pharmacie,31
2015,18 mois après le diplôme,femmes et hommes,Pharmacie,23
2012,30 mois après le diplôme,femmes et hommes,Pharmacie,26
2017,30 mois après le diplôme,femmes,Pharmacie,37
2011,30 mois après le diplôme,femmes et hommes,Pharmacie,29
2013,30 mois après le diplôme,hommes,Pharmacie,34
2013,30 mois après le diplôme,femmes,Pharmacie,27
2014,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,30
2014,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,29
2016,18 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,34
2015,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,31
2017,30 mois après le diplôme,hommes,Sciences et techniques des activit es physiques et sportives,39
2015,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,34
2018,30 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,35
2011,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,29
2012,30 mois après le diplôme,femmes et hommes,Sciences et techniques des activit es physiques et sportives,26
2017,18 mois après le diplôme,femmes,Sciences et techniques des activit es physiques et sportives,33
2018,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,37
2018,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,34
2016,18 mois après le diplôme,hommes,Pluridisciplinaire sciences,32
2015,30 mois après le diplôme,femmes,Pluridisciplinaire sciences,28
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,23
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences,24
2014,30 mois après le diplôme,hommes,Pluridisciplinaire sciences fondamentales et applications,20
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,20
2016,18 mois après le diplôme,hommes,Pluridisciplinaire sciences fondamentales et applications,34
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences fondamentales et applications,23
2013,18 mois après le diplôme,hommes,Pluridisciplinaire sciences fondamentales et applications,39
2013,18 mois après le diplôme,hommes,Masters enseignement,39
2014,18 mois après le diplôme,hommes,Masters enseignement,34
2016,18 mois après le diplôme,femmes,Masters enseignement,15
2012,18 mois après le diplôme,femmes et hommes,Masters enseignement,38
2017,30 mois après le diplôme,femmes et hommes,Masters enseignement,16
2018,30 mois après le diplôme,femmes et hommes,Masters enseignement,19
2018,18 mois après le diplôme,femmes,Histoire-g eographie,42
2018,30 mois après le diplôme,hommes,Histoire,36
2012,30 mois après le diplôme,femmes et hommes,Histoire,36
2013,18 mois après le diplôme,femmes,Histoire,40
2014,18 mois après le diplôme,femmes et hommes,G eographie,40
2016,18 mois après le diplôme,femmes,G eographie,36
2018,30 mois après le diplôme,hommes,G eographie,34
2013,18 mois après le diplôme,femmes et hommes,G eographie,29
2014,18 mois après le diplôme,femmes,Psychologie,34
2018,18 mois après le diplôme,femmes et hommes,Psychologie,43
2013,18 mois après le diplôme,femmes et hommes,Psychologie,31
2018,18 mois après le diplôme,femmes,Sciences de l'information et la communication,35
2016,18 mois après le diplôme,femmes,Sciences de l'information et la communication,32
2011,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,29
2017,30 mois après le diplôme,femmes,Sciences de l'information et la communication,34
2013,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,31
2018,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,35
2018,30 mois après le diplôme,femmes,Am enagement,33
2014,30 mois après le diplôme,femmes et hommes,Am enagement,32
2018,18 mois après le diplôme,femmes et hommes,Am enagement,32
2015,18 mois après le diplôme,femmes,Am enagement,33
2012,18 mois après le diplôme,femmes et hommes,Am enagement,29
2016,30 mois après le diplôme,femmes,Am enagement,36
2014,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,31
2014,30 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,20
2016,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,25
2015,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,47
2015,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,54
2013,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,25
2018,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,31
2018,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,35
2016,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,31
2016,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,31
2017,30 mois après le diplôme,femmes,Ensemble sciences  technologies et sant e,34
2011,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,29
2013,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,31
2013,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,30
2017,18 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,33
2018,30 mois après le diplôme,femmes et hommes,Ensemble sciences  technologies et sant e,33
2013,18 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,30
2018,18 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,36
2015,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,35
2016,30 mois après le diplôme,femmes et hommes,Sciences de la vie et de la terre,35
2014,18 mois après le diplôme,hommes,Sciences de la vie,34
2017,30 mois après le diplôme,hommes,Sciences de la vie,33
2013,30 mois après le diplôme,femmes,Sciences de la vie,35
2017,18 mois après le diplôme,hommes,Sciences de la vie,33
2018,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,34
2014,30 mois après le diplôme,femmes,Sciences de l'univers,36
2014,18 mois après le diplôme,hommes,Sciences de l'univers,36
2015,18 mois après le diplôme,hommes,Sciences de l'univers,29
2012,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,37
2017,30 mois après le diplôme,femmes,Sciences de l'univers,35
2016,30 mois après le diplôme,femmes,Sciences de l'univers,34
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'univers,37
2017,18 mois après le diplôme,femmes et hommes,Sciences de l'univers,33
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,29
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,43
2014,18 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,29
2014,18 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,37
2015,30 mois après le diplôme,hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,24
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,29
2015,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,27
2013,30 mois après le diplôme,femmes,Pluridisciplinaire sciences de la vie  de la sant e  de la terre et de l'univers,25
2017,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,31
2018,30 mois après le diplôme,hommes,Sciences fondamentales,33
2016,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,31
2015,30 mois après le diplôme,femmes et hommes,Sciences fondamentales,31
2015,18 mois après le diplôme,femmes et hommes,Chimie,29
2015,18 mois après le diplôme,hommes,Chimie,28
2012,18 mois après le diplôme,femmes et hommes,Chimie,32
2017,30 mois après le diplôme,femmes et hommes,Chimie,28
2018,30 mois après le diplôme,femmes,Chimie,31
2011,30 mois après le diplôme,femmes et hommes,Chimie,29
2016,30 mois après le diplôme,femmes,Chimie,27
2013,18 mois après le diplôme,hommes,Chimie,27
2013,18 mois après le diplôme,femmes,Chimie,30
2013,18 mois après le diplôme,femmes et hommes,Chimie,29
2014,18 mois après le diplôme,hommes,Physique,35
2015,18 mois après le diplôme,hommes,Physique,29
2011,30 mois après le diplôme,femmes et hommes,Physique,29
2018,30 mois après le diplôme,femmes,Physique,42
2012,18 mois après le diplôme,femmes et hommes,Physique,31
2018,30 mois après le diplôme,femmes et hommes,Physique,32
2017,18 mois après le diplôme,femmes et hommes,Physique,29
2018,18 mois après le diplôme,femmes et hommes,Physique et chimie,33
2016,30 mois après le diplôme,hommes,Physique et chimie,45
2014,18 mois après le diplôme,hommes,Physique et chimie,45
2011,30 mois après le diplôme,femmes et hommes,Physique et chimie,29
2017,30 mois après le diplôme,femmes et hommes,Physique et chimie,36
2017,18 mois après le diplôme,femmes,Physique et chimie,34
2017,18 mois après le diplôme,hommes,Physique et chimie,37
2018,18 mois après le diplôme,femmes,Math ematiques,30
2016,18 mois après le diplôme,femmes,Math ematiques,42
2017,18 mois après le diplôme,femmes et hommes,Math ematiques,38
2017,18 mois après le diplôme,hommes,Math ematiques,39
2014,30 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,22
2018,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,39
2014,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,22
2016,18 mois après le diplôme,hommes,Math ematiques appliqu ees et sciences sociales,26
2012,18 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,32
2016,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,28
2013,18 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,29
2013,18 mois après le diplôme,femmes,Math ematiques appliqu ees et sciences sociales,30
2018,30 mois après le diplôme,femmes et hommes,Math ematiques appliqu ees et sciences sociales,35
2018,18 mois après le diplôme,femmes,Sciences de l'ing enieur,32
2013,30 mois après le diplôme,femmes et hommes,Sciences de l'ing enieur,28
2018,18 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,39
2014,18 mois après le diplôme,hommes, electronique  g enie  electrique,33
2016,30 mois après le diplôme,hommes, electronique  g enie  electrique,34
2011,30 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,29
2013,30 mois après le diplôme,femmes et hommes, electronique  g enie  electrique,39
2018,30 mois après le diplôme,hommes, electronique  g enie  electrique,37
2018,18 mois après le diplôme,femmes et hommes,G enie civil,32
2017,30 mois après le diplôme,hommes,G enie civil,37
2012,18 mois après le diplôme,femmes et hommes,G enie civil,41
2014,30 mois après le diplôme,femmes,Ensemble Masters LMD (hors Masters enseignement),31
2011,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),29
2013,30 mois après le diplôme,femmes et hommes,Ensemble Masters LMD (hors Masters enseignement),28
